s_sat,T_sat
-226.20980990878337,396.9031253517406
-225.3487476575266,397.1149466465311
-224.48967124266025,397.3261161330798
-223.63256104692223,397.5366384593529
-222.77739763131544,397.74651822109644
-221.92416173175008,397.9557599626341
-221.07283425574846,398.1643681776484
-220.2233962791956,398.3723473099487
-219.37582904314513,398.5797017542235
-218.5301139506784,398.7864358567785
-217.68623256380926,398.99255391626076
-216.84416660043956,399.1980601843691
-216.00389793135906,399.4029588665519
-215.16540857729333,399.60725412269016
-214.32868070599523,399.81095006776957
-213.49369662937613,400.01405077253906
-212.66043880068383,400.21656026415747
-211.82888981171916,400.41848252682826
-210.99903239008714,400.6198215024229
-210.17084939649786,400.8205810910915
-209.3443238220885,401.0207651518648
-208.51943878579914,401.22037750324216
-207.69617753176811,401.41942192377167
-206.87452342676872,401.6179021526183
-206.0544599576784,401.8158218901221
-205.2359707289808,402.01318479834634
-204.41903946029433,402.209994501616
-203.60364998393322,402.4062545870472
-202.78978624249754,402.60196860506665
-201.9774322864934,402.79714006992134
-201.166572271973,402.9917724601813
-200.35719045820983,403.1858692192311
-199.54927120539088,403.3794337557548
-198.7427989723405,403.5724694442112
-197.93775831426007,403.7649796253017
-197.13413388049872,403.95696760642903
-196.331910412337,404.1484366621496
-195.53107274079775,404.33939003461677
-194.7316057844727,404.52983093401747
-193.9334945473738,404.71976253900027
-193.13672411679443,404.90918799709823
-192.34127966119902,405.0981104251418
-191.54714642811848,405.28653290966696
-190.75430974206571,405.47445850731697
-189.96275500247057,405.66189024523476
-189.1724676816291,405.84883112144973
-188.38343332265197,406.03528410526144
-187.5956375374424,406.2212521376125
-186.80906600468313,406.4067381314568
-186.02370446782643,406.591744972123
-185.2395387331026,406.77627551767046
-184.4565546675247,406.96033259924235
-183.67473819697184,407.1439190213983
-182.8940753041112,407.32703756247685
-182.1145520265301,407.50969097491054
-181.33615445474734,407.69188198556145
-180.55886873027208,407.8736132960437
-179.78268104366296,408.0548875830409
-179.00757763258778,408.23570749862034
-178.2335447798852,408.41607567054115
-177.4605688116422,408.5959947025564
-176.68863609525923,408.7754671747128
-175.91773303751938,408.9544956436447
-175.1478460825163,409.133082642893
-174.3789617104337,409.3112306830439
-173.61106643434016,409.4889422522733
