s_sat,T_sat
-498.650903092532,377.19491070742873
-495.2588437115126,377.65199000538934
-491.8915288949866,378.10563380598614
-488.54851095369924,378.5559022460045
-485.2293544806358,379.00285382227247
-481.93363589572954,379.44654545198756
-478.6609430116606,379.8870325302628
-475.4108746195937,380.32436898504415
-472.18304009371843,380.75860732954806
-468.9770590136217,381.1897987123459
-465.79256080348915,381.61799296522884
-462.6291843872592,382.04323864896577
-459.48657785887406,382.4655830970694
-456.36439816684674,382.885072457671
-453.26231081238177,383.3017517336051
-450.1799895603761,383.71566482079265
-447.1171161626239,384.12685454501127
-444.07338009260553,384.5353626971342
-441.04847829130523,384.94123006691143
-438.0421149234581,385.34449647537093
-435.0540011437887,385.7452008058996
-432.0838548726669,386.14338103407636
-429.1314005807792,386.53907425631377
-426.19636908238004,386.93231671736334
-423.27849733668313,387.3231438367428
-420.37752825703325,387.71159023413395
-417.4932105274876,388.0976897537979
-414.62529842645046,388.4814754880566
-411.7735516570629,388.8629797998795
-408.9377351839936,389.2422343446207
-406.11761907639095,389.61927009094035
-403.3129783566742,389.99411734095116
-400.52359285493145,390.36680574962145
-397.74924706866295,390.7373643434692
-394.98973002763296,391.1058215385781
-392.2448351636099,391.47220515796465
-389.5143601847827,391.8365424483248
-386.7981069546601,392.19886009618574
-384.0958813752269,392.5591842434912
-381.40749327423936,392.9175405026382
-378.73275629639926,393.27395397099735
-376.0714877983428,393.62844924492765
-373.423508241861,393.98105049925266
-370.78864307439454,394.3317812421425
-368.16671972896455,394.6806647069744
-365.5575694296034,395.02772361692246
-362.9610266383595,395.37298025741967
-360.37692896980514,395.71645648757595
-357.8051171083597,396.05817375122194
-355.245434728318,396.3981530875921
-352.69772841647693,396.7364151416628
-350.16184759724416,397.0729801741588
-347.6376444601586,397.40786807123914
-345.1249738897072,397.7410983538773
-342.6236933973586,398.07269018694507
-340.1336630557361,398.40266238801223
-337.6547454348273,398.7310334358741
-335.18680554018795,399.0578214788137
-332.7297107530332,399.38304434261124
-330.28333077215774,399.706719538311
-327.8475375576333,400.0288642697501
-325.4222052761864,400.34949544086277
-323.0072102482245,400.66862966276585
-320.60243089643916,400.9862832606324
-318.20774769591526,401.3024722803649
-315.82304312573774,401.61721249506815
-313.4482016219703,401.9305194113392
-311.08310953203824,402.2424082753691
-308.72765507039753,402.55289407887284
-306.38172827549266,402.8619915648475
-304.04522096793704,403.16971523316647
-301.7180267098704,403.47607934601587
-299.4000407654646,403.78109793317816
-297.09116006253754,404.0847847971668
-294.7912831552245,404.3871535182191
-292.50031018769334,404.6882174591509
-290.2181428588394,404.9879897700773
-287.9446843879648,405.28648339300435
-285.67983948136526,405.583711066297
-283.4235142998398,405.8796853290244
-281.1756164270559,406.17441852519056
-278.9360548387633,406.4679228078503
-276.70473987282276,406.76021014311675
-274.4815832000281,407.051292314062
-272.2664977956787,407.34118092451695
-270.0593979119069,407.6298874027699
-267.8601990507154,407.9174230051699
-265.6688179376994,408.2037988196378
-263.48517249645624,408.48902576908495
-261.30918182363126,408.7731146147463
-259.140766164602,409.05607595942814
-256.97984688976794,409.3379202506736
-254.82634647143888,409.6186577838476
-252.68018846128618,409.89829870514717
-250.5412974683637,410.17685301453315
-248.40959913765886,410.4543305685924
-246.28502012916562,410.73074108332776
-244.16748809746932,411.0060941368804
-242.0569316718252,411.28039917218496
-239.9532816358562,411.5536653438309
-237.85646602226288,411.8259021552376
-235.76641756474848,412.09711849071743
-233.68306860089365,412.3673232777327
-231.60635235023616,412.63652532088366
-229.53620289700314,412.90473330420474
-227.4725551732527,413.1719557934062
-225.41534494238923,413.438201238064
-223.36450878306343,413.7034779737578
-221.3199840734396,413.9677942241603
-219.2817089758133,414.2311581030772
-217.2496224215743,414.49357761644137
-215.22366409651138,414.75506066426067
-213.2037744264357,415.01561504252123
-211.18989456312875,415.27524844504876
-209.1819663705828,415.53396846532695
-207.17993241156512,415.79178259827466
-205.18373593444917,416.04869824198516
-203.19332086034447,416.3047226994244
-201.2086317704937,416.5598631800938
-199.22961389394433,416.81412680165465
-197.25621309546648,417.0675205915187
-195.28837586374274,417.3200514884021
-193.32604929979286,417.57172634384716
-191.36918110563704,417.8225519237103
-189.4177195731936,418.07253490961875
-187.47161357341088,418.3216819003949
-185.5308125456076,418.56999941345106
-183.5952664870339,418.81749388615526
-181.66492594264608,419.06417167716626
-179.73974199507418,419.31003906774185
-177.8196662547932,419.55510226302033
-175.90465085048834,419.79936739327314
-173.9946484196048,420.04284051513343
-172.08961209907835,420.28552761279855
-170.1894955162468,420.5274345992075
-168.2942527799338,420.76856731719437
-166.40383847170148,421.0089315406187
-164.51820763726099,421.2485329754725
-162.6373157780504,421.4873772609646
-160.76111884296546,421.7254699705834
-158.88957322023384,421.9628166131393
-157.0226357294541,422.19942263378357
-155.1602632132926,422.435293463076
-153.3024141107567,422.6704343281532
-151.4490461091938,422.9048505347673
-149.60011767684412,423.13854728323395
-147.7555876755363,423.3715297150171
-145.91541535353053,423.603802913635
-144.07956033846966,423.83537190554785
-142.24798263046299,424.0662416610286
-140.4206425952602,424.29641709501794
-138.59750095757906,424.5259030679607
-136.77851879449034,424.75470438662944
-134.9636575289591,424.9828258049289
-133.15287892345614,425.21027202468775
-131.34614507368786,425.4370476964345
-129.54341840241705,425.6631574201581
-127.74466165337893,425.88860574605593
-125.94983788528778,426.113397175267
-124.15891046595199,426.3375361605901
-122.37184306644983,426.5610271071915
-120.58859965540903,426.78387437329764
-118.8091444933632,427.00608227087514
-117.03344212719323,427.2276550662994
-115.26145738463647,427.44859698101027
-113.4931553688932,427.66891219215523
-111.72850145327472,427.8886048332231
-109.96746127595925,428.10767899466373
-108.21000073479016,428.32613872449804
-106.45608598215503,428.54398802891694
-104.70568341992751,428.7612308728695
-102.95875969446807,428.97787118064076
-101.21528169169935,429.1939128364189
-99.4752165322253,429.40935968485275
-97.73853156651289,429.6242155316004
-96.0051943701419,429.83848414386574
-94.27517273909135,430.05216925092856
-92.5484346850807,430.26527454466424
-90.82494843098377,430.47780368005255
-89.10468240625598,430.6897602756816
-87.38760524243186,430.90114791424014
-85.67368576867047,431.1119701430015
-83.96289300731947,431.32223047430205
-82.25519616955917,431.53193238600704
-80.5505646510441,431.7410793219732
-78.84896802761669,431.9496746925006
-77.15037605103984,432.15772187477774
-75.45475864477808,432.3652242133187
-73.76208589979343,432.57218502039416
-72.07232807039391,432.77860757645453
-70.38545557009154,432.9844951305462
-68.70143896751472,433.1898509007198
-67.02024898232372,433.39467807443424
-65.34185648116645,433.5989798089514
-63.66623247365198,433.80275923172667
-61.99334810836855,434.00601944078926
-60.32317466886113,434.2087635051242
-58.65568356970704,434.410994465039
-56.990846352556936,434.61271533253046
-55.32863468222027,434.81392909164214
-53.66902034274913,435.01463869881866
-52.01197523353748,435.21484708325306
-50.357471365441796,435.414557147229
-48.705480856902646,435.6137717664572
-47.05597593008608,435.81249379040634
-45.408928907017106,436.01072604263004
-43.76431220557726,436.2084713211043
-42.12209833638319,436.4057323984639
-40.48225989764138,436.6025120224557
-38.84476957240956,436.79881291612406
-37.20960012431843,436.99463777815987
-35.57672439377597,437.18998928319115
-33.946115294125,437.3848700820752
-32.31774580779519,437.57928280218533
-30.691588982421813,437.773230047696
-29.067617926989175,437.96671439986056
-27.445805807948094,438.15973841728606
-25.826125845314447,438.35230463620456
-24.208551308772627,438.54441557073886
-22.59305551374329,438.73607371316547
-20.979611817442876,438.92728153417374
-19.368193614935116,439.11804148311916
-17.75877433512869,439.3083559882758
-16.151327436789952,439.4982274570832
-14.545826404510734,439.68765827638845
-12.942244744634802,439.87665081268926
-11.340555981180458,440.06520741236847
-9.740733649772423,440.25333040213275
-8.142751302337691,440.4410220883116
-6.546582487805931,440.6282847586734
-4.952200759720047,440.8151206814025
-3.359579668212283,441.0015321057156
-1.768692755706128,441.18752126207625
-0.1795135527001637,441.37309036239486
1.4079844266274273,441.55824160023803
2.9938276888658595,441.74297715103603
4.57804276587409,441.92729917228723
6.160656219337823,442.11120980375927
7.741694645374668,442.2947111676871
9.321185218644422,442.4778054314605
10.899153497104999,442.6604945528827
12.475626793340497,442.8427806705911
14.05063188840958,443.02466583859626
15.624195621877172,443.2061520943306
17.1963448968176,443.3872414588294
18.76710668493165,443.56793593691174
20.336508031731526,443.7482375173573
21.9045760618134,443.92814817308175
23.47133798421679,444.10766986130795
25.036821097895448,444.28680452373794
26.601052797263257,444.4655540867187
28.16406057787098,444.64392046141035
29.725872042161704,444.82190554394697
31.286514905363163,444.99951121559985
32.8460170014894,445.1767393429363
34.404406289464134,445.3535917779773
35.961710899711,445.53007036230224
37.51795897182474,445.7061769106749
39.07317892239633,445.88191323681144
40.627399275248436,446.0572811362192
42.18064871399234,446.2322823908319
43.73295607960788,446.4069187682462
45.284350386905516,446.58119202277373
46.834860830126814,446.75510389541705
48.38451678991186,446.9286561139607
49.93334784085246,447.10185039310034
51.48138375931118,447.2746884345771
53.02865501358816,447.44717197302174
54.575190869643606,447.6193025955657
56.12102221416355,447.79108200925015
57.66617971263831,447.96251186529014
59.21069427453596,448.1335938025934
60.75459706242538,448.30432944788487
62.297919501362394,448.4747204158299
63.840693288533274,448.64476830915726
65.3829504031605,448.81447471877783
66.92472311671064,448.98384122390524
68.4660440033792,449.15286939217157
70.00694595088767,449.3215607797442
71.54746217160692,449.4899169314393
73.08762621400375,449.65793938083544
74.62747197445519,449.82562965038494
76.16703370939616,449.99298925152317
77.7063460478795,450.1600196847786
79.24544400450647,450.32672243987895
80.78436299278299,450.49309899585734
82.32313883890593,450.6591508211579
83.86180779600235,450.82487937373844
85.40040655882252,450.99028610117233
86.93897227895222,451.1553724407497
88.47754258052008,451.32013981957755
90.016155576447,451.4845896546772
91.5548498852597,451.64872335308235
93.09366464848964,451.81254231193407
94.63263954869241,451.9760479185771
96.17181482811004,452.13924155065234
97.7112313081283,452.3021245762008
99.25093040878888,452.4646983537094
100.79095417040172,452.6269642322724
102.33134527453177,452.788923551631
103.8721470665132,452.95057764227454
105.4134035786982,453.11192782552837
106.95515955456578,453.27297541363987
108.4974604737884,453.43372170986214
110.04035257829075,453.59416800854
111.58388289933399,453.7543155951913
113.12809928570715,453.91416574659047
114.67305043305208,454.07371973084867
116.21878591440262,454.2329788074946
117.76535621198332,454.3919442275526
119.31281275037492,454.55061723362263
120.86120793105248,454.70899905995674
122.41059516842824,454.8670909325352
123.96102892746536,455.02489406914333
125.51256476291309,455.1824096794444
127.06525936033415,455.3396389650555
128.6191705789351,455.49658311962
130.1743574963341,455.6532433288781
131.73088045542949,455.8096207707406
133.28880111340075,455.9657166153581
134.84818249302333,456.1215320251906
136.40908903643475,456.2770681550778
137.9715866614544,456.4323261523055
139.53574282066762,456.58730715667434
141.10162656339108,456.742012300566
142.6693086007326,456.89644270900914
144.23886137392648,457.05059949974475
145.81035912613922,457.20448378329144
147.38387797796457,457.3580966630078
148.95949600686492,457.51143923515485
150.5372933308254,457.6645125889614
152.11735219647144,457.8173178066847
153.69975707192353,457.9698559636722
155.28459474479365,458.1221281284237
156.8719544790077,458.27413536633696
158.46192790845166,458.4258787248717
160.0546094756093,458.57735925598803
161.65009634141896,458.72857800147955
163.24848856384685,458.87953599646687
164.8498892349205,459.03023426947067
166.45440462754243,459.18067384258745
168.06214434927503,459.33085573153875
169.67322150552292,459.48078094571304
171.28775287303475,459.6304504882156
172.90585908447898,459.7798653559206
174.52766482490583,459.92902653952365
176.15329904105232,460.0779350235963
177.78289516452637,460.2265917866379
179.41659061258574,460.3749977342847
181.0545300768874,460.52315397466725
182.6968611085445,460.67106139277104
184.34373763112458,460.8187209434146
185.99531942194906,460.96613357564365
187.65177244442603,461.1133002326356
189.3132692101888,461.2602218519021
190.9799891651276,461.4068993653052
192.65211910547663,461.553333699102
194.32985497355665,461.6995258492151
196.01339710212278,461.84547658776063
197.7029583724743,461.9911868920973
199.398759835486,462.13665766629356
201.10103252586276,462.2818898090062
202.81001812739544,462.42688421353057
204.5259696958939,462.57164176784045
206.2491524460936,462.7161633546341
207.97984460949306,462.86044985137335
209.71833837132007,463.0045021303308
211.4649408949647,463.14832105860654
213.2199754466236,463.2919074982343
214.98378262820077,463.4352623061907
216.75672173386025,463.5783863344035
218.53917224677957,463.7212804298116
220.33153549261166,463.86394543440736
222.1342364704496,464.00638218527234
223.94772588545547,464.14859151461945
225.77248241061727,464.2905742498274
227.60901521039335,464.43233121348237
229.457866764046,464.5738632234193
