s_sat,T_sat,p_sat,h_sat,d_sat
-441.5931009926078,341.22488873708596,484798.3326653306,-138039.92289806803,1169.789851374644
-439.4917280687743,341.7772903777095,491913.01402805606,-137316.24406239565,1167.8911672069582
-437.41359749003266,342.32363800276556,499027.69539078156,-136599.35070118553,1166.0050937361302
-435.35810138985596,342.86408457783403,506142.376753507,-135889.07242375298,1164.131310315628
-433.3246556365472,343.3987771837937,513257.05811623245,-135185.2452802412,1162.2695080025107
-431.31269992558003,343.927856973437,520371.7394789579,-134487.71189042804,1160.4193902255843
-429.321694614442,344.45145997818975,527486.4208416833,-133796.32044802047,1158.5806703589556
-427.3511208711822,344.9697170528385,534601.1022044088,-133110.92485548925,1156.7530723645245
-425.4004793263572,345.4827542113842,541715.7835671343,-132431.38433999167,1154.9363300000712
-423.46928909532755,345.99069286751455,548830.4649298597,-131757.5631910553,1153.1301863432384
-421.55708686168964,346.49365006016745,555945.1462925852,-131089.33051441735,1151.3343933444874
-419.6634260172849,346.99173866528747,563059.8276553106,-130426.56000082998,1149.5487114069174
-417.78787585462334,347.48506759478516,570174.5090180361,-129769.12970874431,1147.7729089910133
-415.9300208079182,347.9737419836211,577289.1903807615,-129116.92185987694,1146.0067622425456
-414.08945973923255,348.45786336586326,584403.871743487,-128469.8226467447,1144.2500546419976
-412.2658052665545,348.93752984049183,591518.5531062124,-127827.72205133154,1142.5025766740355
-410.45868313085293,349.4128362276651,598633.2344689379,-127190.51367411678,1140.7641255156348
-408.66773159941897,349.88387421610327,605747.9158316633,-126558.09457275453,1139.0345047416054
-406.89260090301786,350.3507325021909,612862.5971943887,-125930.36510975586,1137.3135240463562
-405.132952704554,350.8134969213572,619977.2785571142,-125307.22880856923,1135.6009989808167
-403.38845959715394,351.27225057224325,627091.9599198396,-124688.59221750694,1133.8967507035275
-401.6588046297163,351.7270739341323,634206.6412825651,-124074.3647810043,1132.200605744984
-399.943680858138,352.17804497807856,641321.3226452905,-123464.45871773918,1130.51239578439
-398.2427909205597,352.6252392721383,648436.004008016,-122858.7889051751,1128.8319574380305
-396.5558466350851,353.0687300810805,655550.6853707414,-122257.27277011826,1127.1591320585353
-394.8825686185727,353.50858846091865,662665.3667334669,-121659.83018492044,1125.493765544378
-393.22268592515866,353.94488334859034,669780.0480961923,-121066.38336897067,1123.835708158952
-391.57593570331363,354.37768164707876,676894.7294589177,-120476.8567951598,1122.1848143586817
-389.942062870278,354.80704830625615,684009.4108216432,-119891.17710101184,1120.5409426295912
-388.32081980284164,355.23304639970365,691124.0921843688,-119309.27300420783,1118.9039553318646
-386.7119660434706,355.65573719775045,698238.7735470942,-118731.07522223676,1117.2737185518947
-385.1152680208835,356.07518023695184,705353.4549098196,-118156.51639593596,1115.6501019614118
-383.5304987842233,356.4914333862156,712468.1362725451,-117585.53101669479,1114.0329786832758
-381.9574377500319,356.9045529097704,719582.8176352705,-117018.05535710765,1112.4222251635476
-380.3958704612922,357.31459352715655,726697.498997996,-116454.02740488462,1110.8177210494932
-378.8455883578517,357.72160847040647,733812.1803607214,-115893.38679983417,1109.2193490731881
-377.3063885575819,358.12564953857463,740926.8617234469,-115336.07477374647,1107.626994940415
-375.7780736476714,358.5267671497627,748041.5430861723,-114782.03409301674,1106.0405472245498
-374.2604514854967,358.9250103907781,755156.2244488978,-114231.20900386105,1104.4598972651936
-372.75333500854254,359.3204270645541,762270.9058116232,-113683.54517998199,1102.8849390712696
-371.25654205287503,359.7130637354549,769385.5871743486,-113138.98967255178,1101.3155692283613
-369.7698951797136,360.1029657725753,776500.2685370741,-112597.4908623923,1099.7516868100613
-368.2932215096708,360.49017739114316,783614.9498997995,-112058.99841423566,1098.1931932931338
-366.8263525642415,360.87474169212516,790729.631262525,-111523.46323295301,1096.6399924762718
-365.36912411418103,361.2567007001264,797844.3126252504,-110990.83742165651,1095.0919904022903
-363.9213760343954,361.63609539967536,804958.9939879759,-110461.0742415709,1093.5490952835587
